0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,9,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",9,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,9,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),9,1,(13),(14),(15)
,,1807,"WAY
KANAN",1,-,-,557,-,-,-,3,9,1,-,-,-
,,1808,"TULANG
BAWANG",3,1,-,8.940,16,46,71,1.277,9,1,-,-,-
,,1809,"PE-
SAWARAN",21,1,-,1,-,-,-,1.212,9,1,-,-,-
,,1813,"PESISIR
BARAT",1,6,2,-,8,-,-,-,9,1,1,-,-
,,1871,"KOTA
BANDAR
LAMPUNG",1,-,-,-,2,-,-,2.528,9,1,4,-,-
19,"KEPU-
LAUAN
BANGKA
BE-
LITUNG",1901,BANGKA,4,-,1,478,-,-,116,77,9,1,1,1,-
,,1902,BELITUNG,5,-,-,2.849,1,-,159,300,9,1,-,-,-
,,1903,"BANGKA
BARAT",1,-,-,-,-,-,17,-,9,1,2,-,-
,,1904,"BANGKA
TENGAH",6,4,1,-,1,-,11,-,9,1,-,-,-
,,1905,"BANGKA
SELATAN",1,-,-,-,-,-,-,31,9,1,-,-,-
,,1971,"KOTA PANG-
KALPINANG",5,-,-,178,-,2,4,119,9,1,-,-,-
21,"KEPU-
LAUAN
RIAU",2101,KARIMUN,1,-,-,-,-,-,-,-,9,1,-,-,-
,,2102,BINTAN,11,-,-,1.400,-,-,8,130,9,1,3,1,-
,,2103,NATUNA,4,-,-,50,1,5,6,-,9,1,-,-,-
,,2104,LINGGA,1,-,1,-,-,-,-,-,9,1,-,-,-
,,2171,"KOTA
BATAM",3,-,-,-,2,6,5,-,9,1,-,-,-
,,2172,"KOTA
TANJUNG
PINANG",1,-,-,-,-,-,-,-,9,1,-,-,-
31,"DKI
JAKARTA",3171,"KOTA
JAKARTA
SELATAN",3,2,1,2.262,-,-,1,-,9,1,-,1,-
,,3172,"KOTA
JAKARTA
TIMUR",3,1,-,5,-,1,-,-,9,1,-,-,-
,,3175,"KOTA
JAKARTA
UTARA",1,-,-,68,-,-,-,-,9,1,-,-,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,10,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",10,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,10,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),10,1,(13),(14),(15)
32,"JAWA
BARAT",3201,BOGOR,137,13,18,27.069,77,218,774,698,10,1,8,10,2
,,3202,SUKABUMI,63,3,6,8.953,223,344,440,33,10,1,12,11,-
,,3203,CIANJUR,5,2,-,84.980,1,9,38,3,10,1,-,1,-
,,3204,BANDUNG,30,3,16,396.525,153,512,4.106,20.297,10,1,15,56,2
,,3205,GARUT,51,-,5,539,20,70,108,380,10,1,5,3,1
,,3206,"TASIKMA-
LAYA",9,1,-,13,4,2,8,-,10,1,-,-,-
,,3207,CIAMIS,23,-,1,7.211,7,23,193,-,10,1,2,-,-
,,3208,KUNINGAN,31,-,2,198,3,8,58,10,10,1,2,1,1
,,3209,CIREBON,32,-,-,109.969,3,3,24,4.257,10,1,3,8,-
,,3210,"MA-
JALENGKA",65,-,1,2.721,5,27,151,308,10,1,5,7,-
,,3211,SUMEDANG,36,-,-,62.803,7,3,44,295,10,1,1,1,-
,,3212,"INDRA-
MAYU",5,-,1,25.981,4,-,53,8.271,10,1,-,-,-
,,3213,SUBANG,2,-,-,1.600,-,-,-,523,10,1,-,-,-
,,3214,"PUR-
WAKARTA",7,-,-,75.030,11,-,33,-,10,1,-,2,1
,,3215,"KAR-
AWANG",11,1,2,1.123,8,12,1.401,248,10,1,2,3,-
,,3216,BEKASI,13,-,-,31.475,22,26,147,983,10,1,1,-,-
,,3217,"BANDUNG
BARAT",52,1,4,312.132,56,35,121,55,10,1,8,2,-
,,3218,"PAN-
GANDARAN",19,-,-,58,5,7,9,-,10,1,-,-,-
,,3271,"KOTA
BOGOR",52,-,1,3.973,16,11,97,78,10,1,2,3,-
,,3272,"KOTA SUK-
ABUMI",1,-,-,-,-,-,-,7,10,1,-,-,-
,,3273,"KOTA
BANDUNG",3,-,-,1.651,2,14,34,123,10,1,1,-,-
,,3274,"KOTA
CIREBON",1,-,-,8.265,-,-,-,-,10,1,-,-,-
,,3275,"KOTA
BEKASI",5,-,2,2.432,-,24,336,4,10,1,-,-,-
,,3276,"KOTA
DEPOK",1,1,5,-,-,-,-,-,10,1,-,-,-
,,3277,"KOTA
CIMAHI",3,2,6,20,3,-,4,-,10,1,-,-,-
,,3278,"KOTA
TASIKMA-
LAYA",47,-,5,25.071,11,15,52,15,10,1,2,1,-
,,3329,BREBES,1,-,1,-,-,1,-,-,10,1,-,-,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,11,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",11,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,11,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),11,1,(13),(14),(15)
33,"JAWA
TENGAH",3301,CILACAP,63,-,4,61.586,56,125,291,53,11,1,2,1,-
,,3302,BANYUMAS,50,-,4,52.259,14,26,79,53,11,1,-,-,-
,,3303,"PURBAL-
INGGA",17,1,1,12.902,4,38,35,91,11,1,1,-,-
,,3304,"BANJARNE-
GARA",41,2,7,18.687,411,669,456,-,11,1,24,4,-
,,3305,KEBUMEN,10,-,2,9.235,3,3,45,48,11,1,1,-,-
,,3306,"PURWORE-
JO",35,1,3,112.874,12,26,106,3.303,11,1,2,1,-
,,3307,"WONO-
SOBO",14,2,3,193,2,9,1.029,3,11,1,3,1,-
,,3308,MAGELANG,74,5,7,4.085,19,91,1.775,16,11,1,4,2,1
,,3309,BOYOLALI,29,-,3,24.647,17,25,450,4,11,1,2,2,-
,,3310,KLATEN,20,1,10,70,14,32,350,-,11,1,4,3,-
,,3311,"SUKOHAR-
JO",10,-,2,1.455,3,17,239,181,11,1,1,-,-
,,3312,WONOGIRI,49,1,1,6.506,10,30,258,83,11,1,1,2,1
,,3313,"KARANGA-
NYAR",17,-,-,710,1,7,102,-,11,1,-,-,-
,,3314,SRAGEN,43,-,26,25.629,5,15,572,174,11,1,4,1,-
,,3315,GROBOGAN,25,1,2,32.927,7,30,603,867,11,1,2,2,1
,,3316,BLORA,15,-,-,46,17,22,55,387,11,1,-,-,-
,,3317,REMBANG,3,-,2,-,5,2,124,100,11,1,-,-,-
,,3318,PATI,30,-,2,11.141,12,1,204,3.057,11,1,2,-,-
,,3319,KUDUS,21,1,5,2.412,1,1,248,597,11,1,2,1,-
,,3320,JEPARA,49,1,27,50,31,23,76,268,11,1,1,2,-
,,3321,DEMAK,10,1,1,7,15,-,189,180,11,1,1,-,-
,,3322,SEMARANG,25,2,5,13.610,5,8,15,-,11,1,-,1,-
,,3323,TEMANGGUNG,59,2,6,13.538,5,20,195,9,11,1,-,1,-
,,3324,KENDAL,38,1,3,2.136,44,33,150,67,11,1,2,1,-
,,3325,BATANG,2,-,-,950,-,-,1,-,11,1,-,-,-
,,3326,"PEKALON-
GAN",13,-,-,17.955,2,18,23,1.364,11,1,4,1,-
,,3327,PEMALANG,8,7,-,42.235,23,19,38,-,11,1,2,1,-
,,3328,TEGAL,17,-,2,26.887,41,258,427,2.403,11,1,7,13,1
,,3329,BREBES,39,2,-,1.507,17,84,160,500,11,1,3,1,-
,,3372,"KOTA
SURAKAR-
TA",5,-,-,555,-,1,1,518,11,1,-,1,-
,,3374,"KOTA SE-
MARANG",86,4,9,14.562,15,35,120,174,11,1,2,1,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,12,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",12,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,12,1,,,
