0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,1805,TULANG BAWANG,11,-,-,34.484,1,41,60,6.942,7,1,-,-,-
,,1806,TANGGAMUS,3,5,-,5.110,,8,,497,7,1,-,-,-
,,1807,LAMPUNG TIMUR,10,-,-,1.817,19,50,36,254,7,1,1,-,-
,,1808,WAY KANAN,3,-,-,1.300,28,,74,138,7,1,-,-,-
,,1809,PESAWARAN,9,-,1,3.813,7,6,48,1.027,7,1,-,-,-
,,1810,PRINGSEWU,1,-,-,625,,,,125,7,1,-,-,-
,,1811,MESUJI,7,-,-,732,,,,163,7,1,-,-,-
,,1813,PESISIR BARAT,1,-,-,150,,,,30,7,1,-,-,-
,,1871,"KOTA BANDAR
LAMPUNG",6,-,-,6.270,,,,1.117,7,1,-,-,-
19,"KEPULAUAN
BANGKA
BELITUNG",1902,BELITUNG,1,-,-,-,,,,,7,1,-,-,-
,,1903,BANGKA SELATAN,1,-,-,57,,,,,7,1,-,-,-
,,1904,BANGKA TENGAH,1,-,2,70,,,,,7,1,-,-,-
,,1905,BANGKA BARAT,1,-,-,375,,,,105,7,1,-,-,-
,,1906,BELITUNG TIMUR,18,-,-,251,,,,,7,1,-,-,-
,,1971,"KOTA PANGKAL
PINANG",2,-,-,2.408,,,39,458,7,1,-,-,-
21,"KEPULAUAN
RIAU",2101,BINTAN,37,1,2,2.120,6,14,451,172,7,1,-,-,-
,,2102,KARIMUN,16,-,-,763,,24,224,25,7,1,-,-,-
,,2103,NATUNA,14,-,-,2.567,9,9,6,7,7,1,-,-,-
,,2104,LINGGA,2,-,-,-,,,,,7,1,-,-,-
,,2105,"KEPULAUAN
ANAMBAS",2,-,-,-,,,,,7,1,-,-,-
,,2171,KOTA BATAM,4,2,3,393,34,47,15,,7,1,-,-,-
,,2172,"KOTA TANJUNG
PINANG",4,2,-,255,,20,,,7,1,-,-,-
31,DKI JAKARTA,3172,"KOTA ADM.
JAKARTA UTARA",3,-,-,120,,,,,7,1,-,-,-
,,3173,"KOTA ADM.
JAKARTA BARAT",6,-,-,4.376,,,,1.319,7,1,-,-,-
,,3174,"KOTA ADM.
JAKARTA SELATAN",11,3,1,4.486,,5,9,1.264,7,1,-,-,-
,,3175,"KOTA ADM.
JAKARTA TIMUR",7,-,1,986,,15,7,146,7,1,-,-,-
32,JAWA BARAT,3201,BOGOR,128,3,20,84.865,134,564,1.428,2.312,7,1,2,2,-
,,3202,SUKABUMI,37,19,10.354,28.736,377,458,933,1.464,7,1,1,2,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,8,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,8,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,8,1,,,
,,,,,Jiwa,,,Unit,,,,8,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),8,1,(13),(14),(15)
,,3203,CIANJUR,18,6,6,39.132,841,905,2.347,1.474,8,1,3,3,-
,,3204,BANDUNG,33,7,169,122.241,1.115,1.987,4.006,12.358,8,1,3,4,3
,,3205,GARUT,11,3,11,9.073,27,247,1.062,46,8,1,70,44,4
,,3206,TASIKMALAYA,9,-,1,4.692,11,27,107,653,8,1,-,1,1
,,3207,CIAMIS,20,-,4,3.651,8,53,487,515,8,1,1,-,-
,,3208,KUNINGAN,7,-,-,4.079,4,6,53,838,8,1,3,2,-
,,3209,CIREBON,20,2,-,231.586,10,,33,54.314,8,1,-,-,-
,,3210,MAJALENGKA,8,2,1,8.224,1,8,56,2.131,8,1,-,-,-
,,3211,SUMEDANG,11,1,25,7.075,3,213,467,845,8,1,-,-,1
,,3212,INDRAMAYU,9,-,3,34.017,20,76,301,6.493,8,1,1,1,-
,,3213,SUBANG,14,2,11,11.961,12,1,12,3.039,8,1,-,-,-
,,3214,PURWAKARTA,15,-,1,3.894,46,41,537,184,8,1,-,1,-
,,3215,KARAWANG,35,-,-,42.004,75,165,516,12.765,8,1,-,-,-
,,3216,BEKASI,16,-,-,96.415,7,6,99,11.870,8,1,-,-,-
,,3217,BANDUNG BARAT,32,13,38,8.724,202,178,539,45,8,1,4,7,-
,,3218,PANGANDARAN,6,-,-,1.789,2,10,13,263,8,1,-,1,1
,,3271,KOTA BOGOR,16,2,1,1.980,12,40,66,271,8,1,-,-,-
,,3272,KOTA SUKABUMI,9,-,-,3.183,9,29,177,1.024,8,1,1,1,-
,,3273,KOTA BANDUNG,5,-,-,2.099,2,5,4,515,8,1,-,-,-
,,3274,KOTA CIREBON,5,-,-,6.132,,,,197,8,1,-,-,-
,,3275,KOTA BEKASI,4,-,-,11.789,,,8.973,2.013,8,1,-,-,-
,,3276,KOTA DEPOK,5,-,,1.284,,2,22,144,8,1,-,-,-
,,3277,KOTA CIMAHI,5,-,-,291,4,14,11,47,8,1,1,-,-
,,3278,KOTA TASIKMALAYA,5,-,-,385,9,19,37,,8,1,-,1,-
,,3279,KOTA BANJAR,2,-,-,2.471,1,2,4,,8,1,1,-,-
33,JAWA TENGAH,3301,CILACAP,21,1,-,127.439,23,23,195,11.974,8,1,-,-,-
,,3302,BANYUMAS,16,-,1,229.333,11,9,246,77,8,1,-,4,-
,,3303,PURBALINGGA,2,-,-,225,2,,21,22,8,1,-,-,-
,,3304,BANJARNEGARA,3,-,1,429,31,10,67,,8,1,-,-,-
,,3305,KEBUMEN,12,2,5,25.989,3,2,31,1.664,8,1,1,5,-
,,3306,PURWOREJO,5,4,-,3.985,1,,,,8,1,-,-,-
,,3307,WONOSOBO,6,3,-,729,6,5,24,56,8,1,-,-,-
,,3308,MAGELANG,2,-,4,135,,1,6,,8,1,-,-,-
,,3309,BOYOLALI,4,-,1,10.852,5,32,21,,8,1,-,-,-
,,3310,KLATEN,17,-,8,100.482,3,50,328,,8,1,3,6,-
